BidPrices,AskPrices,StockPrices
99.1061,100.795,99.9505
99.2516,100.938,100.095
98.9897,100.675,100.226
99.1748,100.858,100.016
98.9548,100.636,99.7952
98.9108,100.59,99.7502
99.0041,100.681,99.8424
99.0856,100.76,99.923
99.2109,100.884,100.047
99.6165,101.287,100.072
99.5622,101.231,100.019
99.0603,100.727,99.8937
98.9185,100.583,99.7509
98.721,100.384,99.5524
98.7639,100.425,99.2243
98.7106,100.369,99.172
99.2955,100.952,99.3919
98.9292,100.584,99.3925
99.0516,100.704,99.516
99.1352,100.786,99.6006
99.0953,100.744,99.5617
98.6601,100.307,99.4835
98.814,100.459,99.6364
98.3909,100.034,99.5643
98.3592,100,99.5296
98.7812,100.42,99.6006
99.2537,100.89,99.7261
99.205,100.84,99.6784
99.1474,100.78,99.6217
98.545,100.176,99.3603
98.4147,100.043,99.229
98.4244,100.051,99.2378
98.7456,100.37,99.2239
98.8514,100.474,99.3308
99.1331,100.754,99.6135
98.942,100.561,99.4234
99.0546,100.671,99.537
98.6626,100.277,99.47
98.866,100.479,99.6724
99.2541,100.865,99.7395
99.7419,101.351,99.9103
99.6508,101.258,99.8221
99.5662,101.171,99.7406
99.127,100.73,99.6164
99.2135,100.814,99.7039
99.2354,100.834,99.7268
99.5062,101.103,99.9986
99.1523,100.747,99.9497
99.5408,101.134,100.035
99.1158,100.707,99.9112
99.1681,100.757,99.9625
99.178,100.765,99.9714
98.9685,100.553,100.055
99.0066,100.589,100.09
99.0268,100.608,100.107
98.955,100.534,100.032
99.3297,100.907,100.404
99.4224,100.997,100.494
99.8657,101.439,100.652
99.6686,101.239,100.454
99.6437,101.212,100.428
99.7858,101.353,100.569
99.9459,101.511,100.728
99.962,101.525,100.743
100.068,101.629,100.849
100.097,101.656,100.877
100.149,101.706,100.927
100.091,101.646,100.868
100.335,101.888,100.849
100.414,101.964,100.929
100.132,101.681,100.649
99.7486,101.295,100.522
99.4748,101.02,100.501
99.367,100.91,100.39
99.2703,100.811,100.541
99.46,100.999,100.477
99.2414,100.778,100.256
99.7268,101.262,100.494
99.7016,101.234,100.468
99.8948,101.426,100.66
99.689,101.218,100.453
99.5357,101.063,100.535
99.5481,101.073,100.544
99.2183,100.741,100.444
99.3031,100.824,100.523
99.1991,100.718,100.414
99.2182,100.735,100.429
99.3255,100.84,100.307
99.3643,100.877,100.343
99.3927,100.903,100.368
99.6333,101.142,100.606
99.5809,101.088,100.55
99.4291,100.934,100.182
99.527,101.03,100.278
99.6109,101.112,100.361
99.2594,100.758,100.217
99.0862,100.583,100.041
99.3099,100.805,100.057
99.4791,100.972,100.024
99.057,100.548,99.8024
99.0956,100.584,99.642
99.0939,100.581,99.6413
98.8149,100.3,99.5573
98.6247,100.107,99.5581
98.5967,100.077,99.5271
98.4451,99.9238,99.3725
98.6165,100.093,99.3549
98.3794,99.8542,99.1168
98.2114,99.6842,98.9478
98.1214,99.5922,98.8568
97.9062,99.375,98.6406
98.0489,99.5157,98.7823
98.2366,99.7013,98.795
98.0879,99.5507,98.6473
98.3653,99.8261,98.9257
98.3258,99.7846,98.8872
98.3365,99.7933,99.0649
98.4362,99.8909,98.9995
98.3874,99.8402,98.9518
98.256,99.7068,98.9814
98.3093,99.7581,99.0337
98.3965,99.8433,99.1199
98.007,99.4518,98.8834
97.8112,99.254,98.6846
97.6072,99.048,98.4776
97.5965,99.0353,98.4639
97.6155,99.0522,98.4798
97.603,99.0378,98.4644
97.8721,99.3049,98.5885
97.9056,99.3364,98.621
97.969,99.3977,98.5454
97.9731,99.3998,98.4145
97.8389,99.2637,98.4173
97.8972,99.32,98.4766
97.896,99.3167,98.4763
97.7209,99.1397,98.4303
97.5922,99.0089,98.3006
97.5456,98.9604,98.377
97.7095,99.1223,98.5379
97.6549,99.0657,98.4803
97.741,99.1498,98.5634
97.6151,99.0219,98.4345
97.7481,99.1529,98.5645
97.92,99.3228,98.6214
97.608,99.0087,98.4184
97.6223,99.0211,98.4297
97.7258,99.1226,98.5302
97.6064,99.0012,98.5118
97.6723,99.0651,98.4707
97.6982,99.089,98.3936
97.7722,99.1609,98.4666
97.7915,99.1783,98.4849
97.7789,99.1636,98.4713
97.7391,99.1218,98.4304
97.551,98.9318,98.2414
97.3683,98.7471,98.0577
97.2245,98.6013,97.9129
97.2416,98.6163,97.9289
97.1365,98.5093,97.7409
97.0152,98.386,97.6206
97.121,98.4898,97.7274
97.0396,98.4064,97.647
97.1236,98.4883,97.8059
97.0032,98.366,97.6126
96.9372,98.298,97.5476
96.7986,98.1573,97.4779
96.6838,98.0405,97.4281
96.6938,98.0486,97.4352
96.7518,98.1046,97.4282
97.0956,98.4464,97.711
96.954,98.3028,97.6284
96.8342,98.181,97.5076
96.7443,98.0891,97.4167
96.6416,97.9844,97.313
96.5104,97.8512,97.2308
96.5073,97.846,97.1766
96.2817,97.6184,96.996
96.1989,97.5336,96.9102
96.4611,97.7938,97.1275
96.7229,98.0537,97.3483
96.7581,98.0869,97.3845
96.8808,98.2076,97.5442
96.9194,98.2442,97.6158
96.6981,98.0209,97.3915
96.7614,98.0822,97.4518
96.8097,98.1285,97.4971
96.6667,97.9835,97.3511
96.6408,97.9555,97.3222
96.6203,97.933,97.3206
96.4281,97.7389,97.1235
96.3913,97.7001,97.0817
96.3096,97.6164,96.995
96.3347,97.6395,97.0151
96.4569,97.7597,97.1323
96.5547,97.8554,97.2251
96.5241,97.8228,97.1895
96.5326,97.8293,97.187
96.6703,97.9651,97.3217
96.6914,97.9842,97.3398
96.3751,97.6659,97.0205
